ticker,payoff_tier,payoff_span_norm,persona,persona_payoff_mismatch,persona_payoff_reason,narrative_tradeoff_missing,shape,pipeline_failed,pipeline_error
KOS,LOW,0.145244,CashFlowTrader,False,CONSISTENT,False,Range / Mean-Reversion (Stable),False,
QTP,MEDIUM,0.156818,CashFlowTrader,False,CONSISTENT,False,Illiquid / Noisy,False,
QNS,MEDIUM,0.173662,CashFlowTrader,False,CONSISTENT,False,Illiquid / Noisy,False,
VC3,MEDIUM,0.207037,CashFlowTrader,False,CONSISTENT,False,Volatile Range,False,
PPT,MEDIUM,0.323529,CashFlowTrader,False,CONSISTENT,False,Aggressive Trend,False,
PVP,MEDIUM,0.326246,Speculator,False,CONSISTENT,False,Illiquid / Noisy,False,
TIP,MEDIUM,0.338211,Speculator,False,CONSISTENT,False,Illiquid / Noisy,False,
BAF,MEDIUM,0.340702,AlphaHunter,False,CONSISTENT,False,Aggressive Trend,False,
VIP,MEDIUM,0.382745,Speculator,False,CONSISTENT,False,Illiquid / Noisy,False,
IMP,MEDIUM,0.386406,AlphaHunter,False,CONSISTENT,False,Aggressive Trend,False,
PVT,MEDIUM,0.390732,Speculator,False,CONSISTENT,False,Volatile Range,False,
SSB,HIGH,0.401114,AlphaHunter,False,CONSISTENT,False,Event / Gap-Prone,False,
D2D,HIGH,0.401936,AlphaHunter,False,CONSISTENT,False,Aggressive Trend,False,
BFC,HIGH,0.403992,AlphaHunter,False,CONSISTENT,False,Event / Gap-Prone,False,
FUEVFVND,HIGH,0.405115,Compounder,False,CONSISTENT,False,Illiquid / Noisy,False,
DXP,HIGH,0.405172,AlphaHunter,False,CONSISTENT,False,Event / Gap-Prone,False,
VLB,HIGH,0.405906,AlphaHunter,False,CONSISTENT,False,Aggressive Trend,False,
DPM,HIGH,0.60535,AlphaHunter,False,CONSISTENT,False,Momentum Trend,False,
DPG,HIGH,0.607619,Speculator,False,CONSISTENT,False,Event / Gap-Prone,False,
MSB,HIGH,0.611905,AlphaHunter,False,CONSISTENT,False,Aggressive Trend,False,
GAS,HIGH,0.612427,AlphaHunter,False,CONSISTENT,False,Event / Gap-Prone,False,
DRI,HIGH,0.612857,AlphaHunter,False,CONSISTENT,False,Event / Gap-Prone,False,
HHV,HIGH,0.614786,Speculator,False,CONSISTENT,False,Event / Gap-Prone,False,
NAF,HIGH,0.616113,AlphaHunter,False,CONSISTENT,False,Aggressive Trend,False,
SGR,HIGH,1.466472,Speculator,False,CONSISTENT,False,Event / Gap-Prone,False,
KSV,HIGH,1.514808,Speculator,False,CONSISTENT,False,Event / Gap-Prone,False,
BCG,HIGH,1.549407,Speculator,False,CONSISTENT,False,Illiquid / Noisy,False,
HID,HIGH,1.667247,Speculator,False,CONSISTENT,False,Event / Gap-Prone,False,
HSL,HIGH,1.898426,Speculator,False,CONSISTENT,False,Event / Gap-Prone,False,
AAS,HIGH,1.917526,CashFlowTrader,False,CONSISTENT,False,Event / Gap-Prone,False,
